ASSESSID;TSYEAR;PT_AVAIL;SSB;R;TOTAL;F;CPUE;CATCH_LANDINGS
NWWG-CODFAPL-1959-2006-MINTO;1975;6;109565;9995;153663;0.3947;;36775
NWWG-CODFAPL-1959-2006-MINTO;1976;6;123077;10748;161260;0.4749;;39799
NWWG-CODFAPL-1959-2006-MINTO;1977;6;112057;14997;136211;0.6757;;34927
NWWG-CODFAPL-1959-2006-MINTO;1978;6;78497;23582;96227;0.4259;;26585
NWWG-CODFAPL-1959-2006-MINTO;1979;6;66722;14000;85112;0.4273;;23112
NWWG-CODFAPL-1959-2006-MINTO;1980;6;58886;22127;85037;0.3945;;20513
NWWG-CODFAPL-1959-2006-MINTO;1981;6;63560;25157;88410;0.4648;;22963
NWWG-CODFAPL-1959-2006-MINTO;1982;6;67031;47753;98960;0.4138;;21489
NWWG-CODFAPL-1959-2006-MINTO;1983;6;78539;17313;123245;0.7057;;38133
NWWG-CODFAPL-1959-2006-MINTO;1984;6;96760;9503;152130;0.5082;;36979
NWWG-CODFAPL-1959-2006-MINTO;1985;6;84766;9909;131202;0.7016;;39484
NWWG-CODFAPL-1959-2006-MINTO;1986;6;73661;8678;99223;0.6695;;34595
NWWG-CODFAPL-1959-2006-MINTO;1987;6;62191;15913;78302;0.4457;;21391
NWWG-CODFAPL-1959-2006-MINTO;1988;6;52065;3669;66064;0.6086;;23182
NWWG-CODFAPL-1959-2006-MINTO;1989;6;38299;6674;58647;0.7994;;22068
NWWG-CODFAPL-1959-2006-MINTO;1990;6;28971;11399;37912;0.6596;;13487
NWWG-CODFAPL-1959-2006-MINTO;1991;6;20950;10104;28554;0.5132;;8750
NWWG-CODFAPL-1959-2006-MINTO;1992;6;20599;25188;35557;0.4552;;6396
NWWG-CODFAPL-1959-2006-MINTO;1993;6;32887;42656;50886;0.2401;;6107
NWWG-CODFAPL-1959-2006-MINTO;1994;6;42317;12863;83727;0.1877;;9046
NWWG-CODFAPL-1959-2006-MINTO;1995;6;54005;6458;144096;0.3189;;23045
NWWG-CODFAPL-1959-2006-MINTO;1996;6;84967;5925;142249;0.699;;40422
NWWG-CODFAPL-1959-2006-MINTO;1997;6;81545;14343;96827;0.7679;;34304
NWWG-CODFAPL-1959-2006-MINTO;1998;6;55757;19715;66116;0.5873;;24005
NWWG-CODFAPL-1959-2006-MINTO;1999;6;44941;29662;64951;0.5217;;18306
NWWG-CODFAPL-1959-2006-MINTO;2000;6;46108;12627;91053;0.3605;;21033
NWWG-CODFAPL-1959-2006-MINTO;2001;6;59005;5889;109873;0.431;;28183
NWWG-CODFAPL-1959-2006-MINTO;2002;6;55907;3128;97626;0.8206;;38486
NWWG-CODFAPL-1959-2006-MINTO;2003;6;40185;4567;59413;0.7298;;24501
NWWG-CODFAPL-1959-2006-MINTO;2004;6;26316;6363;35438;0.684;;13215
NWWG-CODFAPL-1959-2006-MINTO;2005;6;21843;;28514;0.5825;;9906
NWWG-CODFAPL-1959-2006-MINTO;2006;6;17878;;25436;0.758;;10446
NWWG-CODICE-1952-2006-MINTO;1952;5;;152000;;;;
NWWG-CODICE-1952-2006-MINTO;1953;5;;153000;;;;
NWWG-CODICE-1952-2006-MINTO;1954;5;;171000;;;;
NWWG-CODICE-1952-2006-MINTO;1955;5;1137000;221000;2357000;0.29;;538000
NWWG-CODICE-1952-2006-MINTO;1956;5;963000;289000;2081000;0.29;;481000
NWWG-CODICE-1952-2006-MINTO;1957;5;937000;154000;1878000;0.31;;452000
NWWG-CODICE-1952-2006-MINTO;1958;5;1071000;193000;1865000;0.35;;509000
NWWG-CODICE-1952-2006-MINTO;1959;5;1032000;129000;1828000;0.32;;453000
NWWG-CODICE-1952-2006-MINTO;1960;5;887000;178000;1753000;0.37;;465000
NWWG-CODICE-1952-2006-MINTO;1961;5;568000;204000;1496000;0.36;;375000
NWWG-CODICE-1952-2006-MINTO;1962;5;704000;216000;1492000;0.38;;387000
NWWG-CODICE-1952-2006-MINTO;1963;5;649000;229000;1315000;0.46;;410000
NWWG-CODICE-1952-2006-MINTO;1964;5;603000;320000;1219000;0.55;;434000
NWWG-CODICE-1952-2006-MINTO;1965;5;430000;172000;1023000;0.58;;394000
NWWG-CODICE-1952-2006-MINTO;1966;5;376000;248000;1032000;0.59;;357000
NWWG-CODICE-1952-2006-MINTO;1967;5;337000;180000;1103000;0.56;;345000
NWWG-CODICE-1952-2006-MINTO;1968;5;305000;189000;1223000;0.72;;381000
NWWG-CODICE-1952-2006-MINTO;1969;5;413000;139000;1326000;0.56;;406000
NWWG-CODICE-1952-2006-MINTO;1970;5;449000;273000;1337000;0.61;;471000
NWWG-CODICE-1952-2006-MINTO;1971;5;343000;179000;1098000;0.68;;453000
NWWG-CODICE-1952-2006-MINTO;1972;5;325000;261000;997000;0.69;;399000
NWWG-CODICE-1952-2006-MINTO;1973;5;345000;368000;843000;0.7;;383000
NWWG-CODICE-1952-2006-MINTO;1974;5;268000;143000;918000;0.76;;375000
NWWG-CODICE-1952-2006-MINTO;1975;5;238000;227000;895000;0.81;;371000
NWWG-CODICE-1952-2006-MINTO;1976;5;189000;244000;955000;0.75;;348000
NWWG-CODICE-1952-2006-MINTO;1977;5;257000;140000;1290000;0.59;;340000
NWWG-CODICE-1952-2006-MINTO;1978;5;269000;141000;1299000;0.48;;330000
NWWG-CODICE-1952-2006-MINTO;1979;5;379000;132000;1397000;0.45;;368000
NWWG-CODICE-1952-2006-MINTO;1980;5;464000;233000;1489000;0.49;;434000
NWWG-CODICE-1952-2006-MINTO;1981;5;385000;139000;1242000;0.66;;469000
NWWG-CODICE-1952-2006-MINTO;1982;5;251000;138000;970000;0.73;;388000
NWWG-CODICE-1952-2006-MINTO;1983;5;188000;333000;791000;0.72;;300000
NWWG-CODICE-1952-2006-MINTO;1984;5;194000;264000;914000;0.64;;284000
NWWG-CODICE-1952-2006-MINTO;1985;5;231000;175000;927000;0.67;;325000
NWWG-CODICE-1952-2006-MINTO;1986;5;274000;87000;850000;0.78;;369000
NWWG-CODICE-1952-2006-MINTO;1987;5;215000;130000;1031000;0.86;;392000
NWWG-CODICE-1952-2006-MINTO;1988;5;233000;104000;1038000;0.9;;378000
NWWG-CODICE-1952-2006-MINTO;1989;5;225000;173000;1007000;0.72;;356000
NWWG-CODICE-1952-2006-MINTO;1990;5;286000;136000;839000;0.7;;335000
NWWG-CODICE-1952-2006-MINTO;1991;5;231000;76000;696000;0.8;;309000
NWWG-CODICE-1952-2006-MINTO;1992;5;223000;152000;546000;0.85;;268000
NWWG-CODICE-1952-2006-MINTO;1993;5;174000;166000;589000;0.87;;252000
NWWG-CODICE-1952-2006-MINTO;1994;5;191000;86000;574000;0.63;;179000
NWWG-CODICE-1952-2006-MINTO;1995;5;217000;162000;553000;0.51;;169000
NWWG-CODICE-1952-2006-MINTO;1996;5;198000;68000;668000;0.51;;182000
NWWG-CODICE-1952-2006-MINTO;1997;5;241000;176000;783000;0.55;;203000
NWWG-CODICE-1952-2006-MINTO;1998;5;278000;160000;717000;0.66;;243000
NWWG-CODICE-1952-2006-MINTO;1999;5;251000;161000;730000;0.75;;260000
NWWG-CODICE-1952-2006-MINTO;2000;5;230000;185000;588000;0.76;;236000
NWWG-CODICE-1952-2006-MINTO;2001;5;219000;64000;693000;0.75;;235000
NWWG-CODICE-1952-2006-MINTO;2002;5;248000;155000;729000;0.65;;209000
NWWG-CODICE-1952-2006-MINTO;2003;5;234000;123000;740000;0.6;;208000
NWWG-CODICE-1952-2006-MINTO;2004;5;254000;;807000;0.62;;227000
NWWG-CODICE-1952-2006-MINTO;2005;5;288000;;703000;0.59;;214000
NWWG-CODICE-1952-2006-MINTO;2006;5;273000;;675000;0.59;;196000
WGBFAS-CODBA2224-1969-2007-JENNINGS;1969;5;;262766;;;;
WGBFAS-CODBA2224-1969-2007-JENNINGS;1970;5;38045;206955;107139;0.9361;;43959
WGBFAS-CODBA2224-1969-2007-JENNINGS;1971;5;44205;286485;114961;10.051;;46623
WGBFAS-CODBA2224-1969-2007-JENNINGS;1972;5;44885;92894;115194;13.048;;48900
WGBFAS-CODBA2224-1969-2007-JENNINGS;1973;5;44221;251576;106851;1.001;;54357
WGBFAS-CODBA2224-1969-2007-JENNINGS;1974;5;45626;114316;103139;13.358;;46571
WGBFAS-CODBA2224-1969-2007-JENNINGS;1975;5;37127;110990;96210;11.052;;44367
WGBFAS-CODBA2224-1969-2007-JENNINGS;1976;5;44077;191230;98967;14.296;;49433
WGBFAS-CODBA2224-1969-2007-JENNINGS;1977;5;33143;131992;81791;14.164;;46305
WGBFAS-CODBA2224-1969-2007-JENNINGS;1978;5;29719;57848;86839;0.983;;40612
WGBFAS-CODBA2224-1969-2007-JENNINGS;1979;5;39415;161437;89240;0.9014;;45046
WGBFAS-CODBA2224-1969-2007-JENNINGS;1980;5;56154;106624;89711;0.9752;;41972
WGBFAS-CODBA2224-1969-2007-JENNINGS;1981;5;50577;146232;95326;13.522;;53646
WGBFAS-CODBA2224-1969-2007-JENNINGS;1982;5;49230;176779;91273;0.8492;;47524
WGBFAS-CODBA2224-1969-2007-JENNINGS;1983;5;49715;53626;92659;0.926;;48605
WGBFAS-CODBA2224-1969-2007-JENNINGS;1984;5;46366;36208;81197;0.8134;;49495
WGBFAS-CODBA2224-1969-2007-JENNINGS;1985;5;49462;95640;72141;12.248;;40159
WGBFAS-CODBA2224-1969-2007-JENNINGS;1986;5;29185;59139;46113;17.276;;26692
WGBFAS-CODBA2224-1969-2007-JENNINGS;1987;5;24086;17605;56383;1.049;;28566
WGBFAS-CODBA2224-1969-2007-JENNINGS;1988;5;30384;25884;48195;0.9687;;29159
WGBFAS-CODBA2224-1969-2007-JENNINGS;1989;5;24938;23603;36819;11.409;;18516
WGBFAS-CODBA2224-1969-2007-JENNINGS;1990;5;15990;39860;31036;12.877;;17780
WGBFAS-CODBA2224-1969-2007-JENNINGS;1991;5;11374;92811;28235;19.674;;16693
WGBFAS-CODBA2224-1969-2007-JENNINGS;1992;5;10034;46807;42239;13.022;;17996
WGBFAS-CODBA2224-1969-2007-JENNINGS;1993;5;18196;80410;59085;12.984;;21228
WGBFAS-CODBA2224-1969-2007-JENNINGS;1994;5;32452;126731;73956;0.5573;;30695
WGBFAS-CODBA2224-1969-2007-JENNINGS;1995;5;28667;41600;64351;0.9993;;33895
WGBFAS-CODBA2224-1969-2007-JENNINGS;1996;5;36904;97834;79584;12.385;;50845
WGBFAS-CODBA2224-1969-2007-JENNINGS;1997;5;36237;128056;61603;1.556;;43624
WGBFAS-CODBA2224-1969-2007-JENNINGS;1998;5;22722;57815;56125;0.9844;;34216
WGBFAS-CODBA2224-1969-2007-JENNINGS;1999;5;26082;63634;65482;1.172;;42155
WGBFAS-CODBA2224-1969-2007-JENNINGS;2000;5;32526;45526;62224;10.624;;38347
WGBFAS-CODBA2224-1969-2007-JENNINGS;2001;5;26587;67383;50319;1.312;;34244
WGBFAS-CODBA2224-1969-2007-JENNINGS;2002;5;19002;20862;39368;12.066;;24158
WGBFAS-CODBA2224-1969-2007-JENNINGS;2003;5;19241;75805;42155;0.7701;;24624
WGBFAS-CODBA2224-1969-2007-JENNINGS;2004;5;21207;30495;38571;11.963;;20854
WGBFAS-CODBA2224-1969-2007-JENNINGS;2005;5;17758;29093;42121;1.29;;22045
WGBFAS-CODBA2224-1969-2007-JENNINGS;2006;5;23714;27134;41961;0.9216;;22750
WGBFAS-CODBA2224-1969-2007-JENNINGS;2007;5;22388;;;;;
WGBFAS-CODBA2532-1964-2007-JENNINGS;1964;5;;430264;;;;
WGBFAS-CODBA2532-1964-2007-JENNINGS;1965;5;;370921;;;;
WGBFAS-CODBA2532-1964-2007-JENNINGS;1966;5;172018;354062;355416;0.837;;134867
WGBFAS-CODBA2532-1964-2007-JENNINGS;1967;5;228679;306727;436280;11.587;;152378
WGBFAS-CODBA2532-1964-2007-JENNINGS;1968;5;233958;240010;422232;11.303;;164472
WGBFAS-CODBA2532-1964-2007-JENNINGS;1969;5;222659;264787;395953;10.962;;169909
WGBFAS-CODBA2532-1964-2007-JENNINGS;1970;5;208842;322278;351666;11.241;;154492
WGBFAS-CODBA2532-1964-2007-JENNINGS;1971;5;184181;432140;314516;0.9133;;118217
WGBFAS-CODBA2532-1964-2007-JENNINGS;1972;5;198995;506893;350280;10.434;;143833
WGBFAS-CODBA2532-1964-2007-JENNINGS;1973;5;211991;303683;394362;0.9732;;143164
WGBFAS-CODBA2532-1964-2007-JENNINGS;1974;5;262952;293397;500395;0.8311;;147815
WGBFAS-CODBA2532-1964-2007-JENNINGS;1975;5;339545;479002;575916;0.6955;;194649
WGBFAS-CODBA2532-1964-2007-JENNINGS;1976;5;355564;829398;535740;0.9261;;203303
WGBFAS-CODBA2532-1964-2007-JENNINGS;1977;5;326914;615355;533503;0.844;;164792
WGBFAS-CODBA2532-1964-2007-JENNINGS;1978;5;379201;425886;712485;0.5358;;154009
WGBFAS-CODBA2532-1964-2007-JENNINGS;1979;5;579671;689813;983040;0.4952;;227699
WGBFAS-CODBA2532-1964-2007-JENNINGS;1980;5;696743;693588;1026484;0.7342;;347619
WGBFAS-CODBA2532-1964-2007-JENNINGS;1981;5;666132;472372;984216;0.8091;;330742
WGBFAS-CODBA2532-1964-2007-JENNINGS;1982;5;670941;302918;1057368;0.7301;;316052
WGBFAS-CODBA2532-1964-2007-JENNINGS;1983;5;645257;253071;1003056;0.7124;;332148
WGBFAS-CODBA2532-1964-2007-JENNINGS;1984;5;657665;260194;920296;0.8896;;391952
WGBFAS-CODBA2532-1964-2007-JENNINGS;1985;5;544907;368042;737745;0.7334;;315083
WGBFAS-CODBA2532-1964-2007-JENNINGS;1986;5;399365;224249;547627;10.936;;252558
WGBFAS-CODBA2532-1964-2007-JENNINGS;1987;5;320453;122204;492334;0.9196;;207081
