SPECIES	COUNTRIES	STOCK	DEVELOPMENT	TAC	PROPERTY.RIGHTS	CO.MANAGEMENT
Atlantic cod	IE	CODBA2532	0.96875	0.917	NA	0.102564103
Atlantic cod	IE	CODBA2532	NA	0.917	NA	0.102564103
Atlantic cod	IE	CODCOASTNOR_CODNEAR	0.96875	0.917	NA	0.102564103
Atlantic cod	IE	CODCOASTNOR_CODNEAR	NA	0.917	NA	0.102564103
Atlantic cod	IE	CODFAPL	0.96875	0.917	NA	0.102564103
Atlantic cod	IE	CODFAPL	NA	0.917	NA	0.102564103
Atlantic cod	IE	CODICE	0.96875	0.917	NA	0.102564103
Atlantic cod	IE	CODICE	NA	0.917	NA	0.102564103
Atlantic cod	IE	CODIS	0.96875	0.917	NA	0.102564103
Atlantic cod	IE	CODIS	NA	0.917	NA	0.102564103
Atlantic cod	IE	CODKAT_CODNS	0.96875	0.917	NA	0.102564103
Atlantic cod	IE	CODKAT_CODNS	NA	0.917	NA	0.102564103
Atlantic cod	IE	CODVIa	0.96875	0.917	NA	0.102564103
Atlantic cod	IE	CODVIa	NA	0.917	NA	0.102564103
European hake	IE	HAKENRTN	0.96875	0.97	NA	0.102564103
European hake	IE	HAKENRTN	NA	0.97	NA	0.102564103
European hake	IE	HAKESOTH	0.96875	0.97	NA	0.102564103
European hake	IE	HAKESOTH	NA	0.97	NA	0.102564103
Atlantic cod	LT	CODBA2532	0.1875	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODBA2532	NA	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODCOASTNOR_CODNEAR	0.1875	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODCOASTNOR_CODNEAR	NA	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODFAPL	0.1875	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODFAPL	NA	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODICE	0.1875	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODICE	NA	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODIS	0.1875	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODIS	NA	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODKAT_CODNS	0.1875	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODKAT_CODNS	NA	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODVIa	0.1875	0.874	0.666666667	0.051282051
Atlantic cod	LT	CODVIa	NA	0.874	0.666666667	0.051282051
European hake	LT	HAKENRTN	0.1875	0.977	0.666666667	0.051282051
European hake	LT	HAKENRTN	NA	0.977	0.666666667	0.051282051
European hake	LT	HAKESOTH	0.1875	0.977	0.666666667	0.051282051
European hake	LT	HAKESOTH	NA	0.977	0.666666667	0.051282051
Atlantic cod	LT	CODBA2532	0.1875	0.874	NA	0.051282051
Atlantic cod	LT	CODBA2532	NA	0.874	NA	0.051282051
Atlantic cod	LT	CODCOASTNOR_CODNEAR	0.1875	0.874	NA	0.051282051
Atlantic cod	LT	CODCOASTNOR_CODNEAR	NA	0.874	NA	0.051282051
Atlantic cod	LT	CODFAPL	0.1875	0.874	NA	0.051282051
Atlantic cod	LT	CODFAPL	NA	0.874	NA	0.051282051
Atlantic cod	LT	CODICE	0.1875	0.874	NA	0.051282051
Atlantic cod	LT	CODICE	NA	0.874	NA	0.051282051
Atlantic cod	LT	CODIS	0.1875	0.874	NA	0.051282051
Atlantic cod	LT	CODIS	NA	0.874	NA	0.051282051
Atlantic cod	LT	CODKAT_CODNS	0.1875	0.874	NA	0.051282051
Atlantic cod	LT	CODKAT_CODNS	NA	0.874	NA	0.051282051
Atlantic cod	LT	CODVIa	0.1875	0.874	NA	0.051282051
Atlantic cod	LT	CODVIa	NA	0.874	NA	0.051282051
European hake	LT	HAKENRTN	0.1875	0.977	NA	0.051282051
European hake	LT	HAKENRTN	NA	0.977	NA	0.051282051
European hake	LT	HAKESOTH	0.1875	0.977	NA	0.051282051
European hake	LT	HAKESOTH	NA	0.977	NA	0.051282051
Atlantic cod	LV	CODBA2532	0	0.824	0.662698413	0.076923077
Atlantic cod	LV	CODBA2532	NA	0.824	0.662698413	0.076923077
