SPECIES;COUNTRIES;STOCK;SPgear;ICESareas5;ICESareasEU;Stockdep.sp;Stockdep.total;Research;Management;;;
Atlantic cod;PL;CODKAT;10;5.22;-1.59;0;0;1431;88672;;;
Atlantic cod;PL;CODNEARNCW_CODNEAR;10;5.22;-1.59;0.1031;0.0019;1431;88672;;;
Atlantic cod;PL;CODVIa;10;5.22;-1.59;0;0;1431;88672;;;
Atlantic cod;PT;CODBA2532;2;2.88;0.61;0;0;4115;18290;;;
Atlantic cod;PT;CODFAPL;2;2.88;0.61;0;0;4115;18290;;;
Atlantic cod;PT;CODICE;2;2.88;0.61;0;0;4115;18290;;;
Atlantic cod;PT;CODIIIaW;2;2.88;0.61;0;0;4115;18290;;;
Atlantic cod;PT;CODIS;2;2.88;0.61;0;0;4115;18290;;;
Atlantic cod;PT;CODKAT;2;2.88;0.61;0.0732;0.0063;4115;18290;;;
Atlantic cod;PT;CODNEARNCW_CODNEAR;2;2.88;0.61;0.927;0;4115;18290;;;
Atlantic cod;PT;CODVIa;2;2.88;0.61;0;0;4115;18290;;;
European hake;PT;HAKENRTN;7;2.88;0.61;0.0002;0;4115;18290;;;
European hake;PT;HAKESOTH;7;2.88;0.61;0.7286;0;4115;18290;;;
Atlantic cod;SE;CODBA2532;22;NA;NA;0.7484;0.0003;71149;15606;;;
Atlantic cod;SE;CODFAPL;22;NA;NA;0;0;71149;15606;;;
Atlantic cod;SE;CODICE;22;NA;NA;0;0;71149;15606;;;
Atlantic cod;SE;CODIIIaW;22;NA;NA;0;0;71149;15606;;;
Atlantic cod;SE;CODIS;22;NA;NA;0;0;71149;15606;;;
Atlantic cod;SE;CODKAT;22;NA;NA;0.0458;0.042;71149;15606;;;
Atlantic cod;SE;CODNEARNCW_CODNEAR;22;NA;NA;0;0.0026;71149;15606;;;
Atlantic cod;SE;CODVIa;22;NA;NA;0;0;71149;15606;;;
European hake;SE;HAKENRTN;13;NA;NA;0.8;0;71149;15606;;;
European hake;SE;HAKESOTH;13;NA;NA;0;0;71149;15606;;;
