ASSESSID;STOCKID;STOCKLONG;TSYEAR;SSB;Fm;SSBLIM;FLIM;comments;SSB/SSBLIM;F/FLIM
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2017;;;63053;;;;
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1958;;;21000;0.9;;;
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1959;4.78E+04;5.20E-01;21000;0.9;;2.276190476;0.577777778
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1960;5.31E+04;7.00E-01;21000;0.9;;2.528571429;0.777777778
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1961;4.65E+04;6.40E-01;21000;0.9;;2.214285714;0.711111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1962;4.38E+04;5.70E-01;21000;0.9;;2.085714286;0.633333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1963;5.09E+04;5.00E-01;21000;0.9;;2.423809524;0.555555556
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1964;5.66E+04;4.90E-01;21000;0.9;;2.695238095;0.544444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1965;5.50E+04;4.90E-01;21000;0.9;;2.619047619;0.544444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1966;5.40E+04;4.80E-01;21000;0.9;;2.571428571;0.533333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1967;6.44E+04;4.60E-01;21000;0.9;;3.066666667;0.511111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1968;7.55E+04;4.50E-01;21000;0.9;;3.595238095;0.5
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1969;7.99E+04;4.80E-01;21000;0.9;;3.804761905;0.533333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1970;7.82E+04;3.90E-01;21000;0.9;;3.723809524;0.433333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1971;5.81E+04;3.80E-01;21000;0.9;;2.766666667;0.422222222
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1972;5.10E+04;3.50E-01;21000;0.9;;2.428571429;0.388888889
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1973;6.94E+04;3.70E-01;21000;0.9;;3.304761905;0.411111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1974;8.39E+04;3.80E-01;21000;0.9;;3.995238095;0.422222222
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1975;1.01E+05;4.80E-01;21000;0.9;;4.80952381;0.533333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1976;1.08E+05;6.00E-01;21000;0.9;;5.142857143;0.666666667
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1977;1.05E+05;5.80E-01;21000;0.9;;5;0.644444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1978;7.33E+04;4.90E-01;21000;0.9;;3.49047619;0.544444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1979;6.14E+04;4.80E-01;21000;0.9;;2.923809524;0.533333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1980;5.47E+04;4.30E-01;21000;0.9;;2.604761905;0.477777778
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1981;5.89E+04;4.70E-01;21000;0.9;;2.804761905;0.522222222
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1982;6.03E+04;4.90E-01;21000;0.9;;2.871428571;0.544444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1983;1.00E+05;6.50E-01;21000;0.9;;4.761904762;0.722222222
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1984;1.23E+05;5.50E-01;21000;0.9;;5.857142857;0.611111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1985;8.58E+04;7.00E-01;21000;0.9;;4.085714286;0.777777778
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1986;7.40E+04;6.20E-01;21000;0.9;;3.523809524;0.688888889
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1987;5.89E+04;5.50E-01;21000;0.9;;2.804761905;0.611111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1988;5.02E+04;6.70E-01;21000;0.9;;2.39047619;0.744444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1989;3.72E+04;7.60E-01;21000;0.9;;1.771428571;0.844444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1990;3.09E+04;6.60E-01;21000;0.9;;1.471428571;0.733333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1991;2.20E+04;5.10E-01;21000;0.9;;1.047619048;0.566666667
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1992;1.67E+04;4.20E-01;21000;0.9;;0.795238095;0.466666667
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1993;2.56E+04;3.20E-01;21000;0.9;;1.219047619;0.355555556
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1994;5.65E+04;3.00E-01;21000;0.9;;2.69047619;0.333333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1995;6.09E+04;4.00E-01;21000;0.9;;2.9;0.444444444
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1996;8.27E+04;6.40E-01;21000;0.9;;3.938095238;0.711111111
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1997;7.54E+04;8.10E-01;21000;0.9;;3.59047619;0.9
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1998;4.90E+04;7.50E-01;21000;0.9;;2.333333333;0.833333333
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;1999;3.76E+04;7.10E-01;21000;0.9;;1.79047619;0.788888889
NWWG-CODFAPL-1958-2018-ICESIMP2018;CODFAPL;Atlantic cod Faroe Plateau;2000;3.84E+04;5.10E-01;21000;0.9;;1.828571429;0.566666667
