ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1992;1.28E+05;5.68E+04;;0.985260771;3.366666667;0.985260771;3.366666667;1.28E+05;8.69E+04;;1.36E+08;5.68E+04;5.49E+04;;1.01E+00;;;;;3.666666667;;;0.380629662;;0.985260771;;3.366666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1993;1.40E+05;5.23E+04;;1.071428571;1.843333333;1.071428571;1.843333333;1.40E+05;9.45E+04;;1.20E+08;5.23E+04;5.07E+04;;5.53E-01;;;;;1.44;;;0.350474143;;1.071428571;;1.843333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1994;2.24E+05;1.05E+05;;1.836734694;2.033333333;1.836734694;2.033333333;2.24E+05;1.62E+05;;1.08E+08;1.05E+05;1.01E+05;;6.10E-01;;;;;2.226666667;;;0.703628777;;1.836734694;;2.033333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1995;2.38E+05;1.14E+05;;2.131519274;2.556666667;2.131519274;2.556666667;2.38E+05;1.88E+05;;9.25E+07;1.14E+05;1.08E+05;;7.67E-01;;;;;2.656666667;;;0.763939815;;2.131519274;;2.556666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1996;2.10E+05;1.37E+05;;1.859410431;3.03;1.859410431;3.03;2.10E+05;1.64E+05;;1.33E+08;1.37E+05;1.24E+05;;9.09E-01;;;;;3.366666667;;;0.918068024;;1.859410431;;3.03
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1997;1.81E+05;9.93E+04;;1.428571429;3.366666667;1.428571429;3.366666667;1.81E+05;1.26E+05;;1.40E+08;9.93E+04;8.86E+04;;1.01E+00;;;;;3.566666667;;;0.665431787;;1.428571429;;3.366666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1998;1.49E+05;7.49E+04;;1.111111111;3.213333333;1.111111111;3.213333333;1.49E+05;9.80E+04;;1.45E+08;7.49E+04;6.74E+04;;9.64E-01;;;;;3.433333333;;;0.501921861;;1.111111111;;3.213333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1999;1.35E+05;8.18E+04;;0.979591837;3.08;0.979591837;3.08;1.35E+05;8.64E+04;;1.23E+08;8.18E+04;7.30E+04;;9.24E-01;;;;;3.223333333;;;0.548160324;;0.979591837;;3.08
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2000;1.51E+05;1.03E+05;;1.062358277;3.313333333;1.062358277;3.313333333;1.51E+05;9.37E+04;;1.20E+08;1.03E+05;8.93E+04;;9.94E-01;;;;;3.566666667;;;0.690226324;;1.062358277;;3.313333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2001;1.42E+05;1.02E+05;;1.009070295;3.533333333;1.009070295;3.533333333;1.42E+05;8.90E+04;;9.51E+07;1.02E+05;9.13E+04;;1.06E+00;;;;;4.1;;;0.683525098;;1.009070295;;3.533333333
