ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2004;6.43E+04;4.90E+04;0.762052877;0.951111111;2.964285714;0.951111111;2.964285714;6.43E+04;4.28E+04;;3.40E+08;4.90E+04;4.64E+04;;8.30E-01;0.762052877;;;;2.964285714;;;0.793618658;;0.951111111;;2.964285714
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2005;6.02E+04;5.12E+04;0.850498339;0.915555556;3.392857143;0.915555556;3.392857143;6.02E+04;4.12E+04;;2.22E+08;5.12E+04;4.66E+04;;9.50E-01;0.850498339;;;;3.392857143;;;0.829250516;;0.915555556;;3.392857143
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2006;5.66E+04;4.33E+04;0.765017668;0.746666667;3;0.746666667;3;5.66E+04;3.36E+04;;3.02E+08;4.33E+04;4.15E+04;;8.40E-01;0.765017668;;;;3;;;0.701299753;;0.746666667;;3
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2007;6.34E+04;4.72E+04;0.744479495;0.884444444;2.642857143;0.884444444;2.642857143;6.34E+04;3.98E+04;;4.71E+08;4.72E+04;4.50E+04;;7.40E-01;0.744479495;;;;2.642857143;;;0.76446532;;0.884444444;;2.642857143
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2008;8.00E+04;5.10E+04;0.6375;1.044444444;2.142857143;1.044444444;2.142857143;8.00E+04;4.70E+04;;7.65E+08;5.10E+04;4.77E+04;;6.00E-01;0.6375;;;;2.142857143;;;0.826011256;;1.044444444;;2.142857143
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2009;1.27E+05;6.87E+04;0.540944882;1.58;1.714285714;1.58;1.714285714;1.27E+05;7.11E+04;;2.55E+08;6.87E+04;5.88E+04;;4.80E-01;0.540944882;;;;1.714285714;;;1.112685751;;1.58;;1.714285714
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2010;2.07E+05;8.22E+04;0.397101449;2.911111111;1.285714286;2.911111111;1.285714286;2.07E+05;1.31E+05;;2.70E+08;8.22E+04;7.28E+04;;3.60E-01;0.397101449;;;;1.285714286;;;1.33133579;;2.911111111;;1.285714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2011;2.68E+05;1.01E+05;0.376865672;4.8;1.035714286;4.8;1.035714286;2.68E+05;2.16E+05;;2.84E+08;1.01E+05;8.75E+04;;2.90E-01;0.376865672;;;;1.035714286;;;1.635826214;;4.8;;1.035714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2012;2.89E+05;9.79E+04;0.338754325;5.488888889;0.857142857;5.488888889;0.857142857;2.89E+05;2.47E+05;;5.41E+08;9.79E+04;8.57E+04;;2.40E-01;0.338754325;;;;0.857142857;;;1.585617686;;5.488888889;;0.857142857
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2013;3.02E+05;8.94E+04;0.29602649;5.6;0.857142857;5.6;0.857142857;3.02E+05;2.52E+05;;3.76E+08;8.94E+04;7.78E+04;;2.40E-01;0.29602649;;;;0.857142857;;;1.447949144;;5.6;;0.857142857
